M,main_mean_gap,dense_mean_gap,label
1000,1.6862851334601046,1.6862851334601046,GG1
2000,1.6203778965766065,1.9427780098043486,GG1
4000,1.677993925146737,1.824297399191097,GG1
8000,2.109796145024992,1.9454458515703401,GG1
1000,1.3951594918940495,1.3951594918940495,GG2
2000,1.1957658272235128,1.1837635956348418,GG2
4000,1.4313118610950366,1.2465583633665749,GG2
8000,1.2356231042388366,1.4210975546221403,GG2
1000,1.724797888711521,1.724797888711521,MM1
2000,1.773055760469606,1.7149568458274964,MM1
4000,2.167423137731679,2.032565961801431,MM1
8000,2.175424149807612,1.9960716988119367,MM1
1000,1.2976656961008606,1.2976656961008606,MM2
2000,1.5310272708929185,1.4725067844146436,MM2
4000,1.6863084112605926,1.350359506643589,MM2
8000,1.427960378210875,1.6957546797084748,MM2
