method,M,mean_selected_h,mean_gap_to_oracle,boundary_frequency,mean_f_hat,mean_min_D_hat
lepski,1000,0.4773617420861,2.912288932678765,0.1,0.39023392327758855,0.005590317412774427
lepski,1500,0.27591436674855,6.768727332487472,0.0,0.40220307099642955,0.003807653924477522
lepski,2000,0.3674353352149,5.348723999535706,0.05,0.40259798044694833,0.005116047311604021
lepski,3000,0.3960476188958,4.846168014024773,0.15,0.3878021997535762,0.005898183343188887
lepski,4000,0.3354984441105,2.7763969220277063,0.0,0.38070045642849903,0.006530646837995299
lepski,6000,0.23786519196314998,10.17975351316151,0.0,0.4163832192815053,0.004511488511336774
lepski,8000,0.42832237533745,7.016284607506192,0.05,0.3886511112585206,0.006151029260754574
oracle,1000,0.4517551403683,1.0,0.05,0.3801922046811525,0.0074883706963794015
oracle,1500,0.452665042945,1.0,0.0,0.3874713241546458,0.00808277734283781
oracle,2000,0.3828122292026,1.0,0.0,0.38839959185319806,0.007466182566428473
oracle,3000,0.5060749455217,1.0,0.0,0.3616999349024767,0.008485475369556886
oracle,4000,0.32463203435599997,1.0,0.0,0.4085820849011421,0.008030755725823013
oracle,6000,0.3947056274848,1.0,0.0,0.3926860994468774,0.008550577494829983
oracle,8000,0.3586485386505,1.0,0.0,0.40205236202051065,0.008082811834634529
