M,mean_gap_to_oracle,sd_gap_to_oracle,q25_gap_to_oracle,q75_gap_to_oracle,q95_gap_to_oracle,label,model_id,tag
1000,1.643389030487896,0.8167196757550349,1.0,1.979143236430405,3.2488228941522213,GG1,gg_1d,gg1_final_rawmax_k2
2000,1.6079608456764272,0.769444517176176,1.0,1.927486510573068,2.8790962784486056,GG1,gg_1d,gg1_final_rawmax_k2
4000,1.6981530521045198,0.6564190462021804,1.0919784239960653,2.2513086433779734,2.769490874141871,GG1,gg_1d,gg1_final_rawmax_k2
8000,2.070324946842888,1.2811310516153576,1.134369441757643,2.6117675471768127,4.486377225900919,GG1,gg_1d,gg1_final_rawmax_k2
1000,1.5107547423022623,0.8118672372647129,1.0,1.6672306359934632,2.6556853008479293,GG2,gg_2d,gg2_final_rawmax_k2
2000,1.1778659553507427,0.30049835912636397,1.0,1.2099201538666018,1.865872237324549,GG2,gg_2d,gg2_final_rawmax_k2
4000,1.4673088645639614,0.587616795064911,1.0494235407077221,1.6275479703770142,2.7614002245531055,GG2,gg_2d,gg2_final_rawmax_k2
8000,1.2290826800591008,0.33686005671051705,1.0,1.3192342050836987,1.8888494083405407,GG2,gg_2d,gg2_final_rawmax_k2
1000,2.380483381124587,2.8010187027601576,1.0465191581118654,2.343186981302999,5.845346983122493,MM1,mm_1d,mm1_final_rawmax_k2
2000,2.403346158205654,2.8251303443425297,1.066380966653502,2.1156367464889265,7.7186237471575385,MM1,mm_1d,mm1_final_rawmax_k2
4000,5.62842534499608,10.44018098187909,1.4365041686900488,3.2703370850978346,30.872774293579575,MM1,mm_1d,mm1_final_rawmax_k2
8000,3.2156495439009363,4.682000833920061,1.2631644364377608,2.791515851231263,11.530157452472855,MM1,mm_1d,mm1_final_rawmax_k2
1000,1.6605139417447643,0.8257953888110627,1.2003532619032236,1.8125731786228587,2.9356772941201674,MM2,mm_2d,mm2_final_rawmax_k2
2000,2.3150971968896386,1.4586796132475028,1.2396374811277506,3.4678497570382643,4.964975530242929,MM2,mm_2d,mm2_final_rawmax_k2
4000,2.6770670571649946,2.458872443047337,1.3209340944815557,2.600890326117181,7.1670217825352145,MM2,mm_2d,mm2_final_rawmax_k2
8000,2.711902249392834,3.1643239802455083,1.2704609324720209,2.098367355523652,9.138655177395943,MM2,mm_2d,mm2_final_rawmax_k2
