model_id,tag,n_M,Cavg,Cmax,hbar
gg_1d,gg1_rawmax_kp2_kf2,3,1.8296522078794422,2.0449096832110643,0.36204319959116665
gg_1d,gg1_final_rawmax_k2,4,1.7549569687779327,2.070324946842888,0.37087562203696994
gg_1d,gg1_trim05_k2,3,2.018822013397982,2.24687125804777,0.4017398987322666
gg_1d,gg1_trim10_k2,3,2.2312195999857303,2.5492549409638,0.44088203435600004
gg_1d,gg1_rawmax_k2_two,3,2.550647323062283,2.672425441982367,0.4636700935788666
gg_1d,gg1_rawmax_kp1_kf2,3,2.2989731132263063,2.680744261391665,0.24397497276085
gg_1d,gg1_trim05_k2_two,3,3.1321371178823263,3.3986233389321754,0.5291726188958
mm_1d,mm1_final_rawmax_k2,4,3.406976107056814,5.62842534499608,0.29743839940504
mm_1d,mm1_rawmax_k2_two,3,4.068712947017509,6.270708980058173,0.4061050288702834
mm_1d,mm1_trim05_k2,3,4.032796328645734,6.398995582127787,0.3272412910481833
mm_1d,mm1_trim10_k2,3,4.123222800658521,6.419190194795957,0.37009663010751664
mm_1d,mm1_rawmax_kp2_kf2,3,4.0084003357823645,6.471584885945992,0.3070636215185167
mm_1d,mm1_trim05_k2_two,3,4.402998449710835,6.95522461039248,0.4506500775819333
mm_1d,mm1_rawmax_kp1_kf2,3,5.12300648871435,7.789811145608087,0.21770994530681667
